ED,POLL NO.,URBAN,BECKLES,BOBB,DHILLON,FIJI,GOEL,MADDEN,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON WEST,,,,,,,,,,,,,,,,,,,,,,,
008,037, ,44,14,85,0,2,1,,,,,,,,,,0,0,0,146,387,"Brampton,Fletcher's Meadow Secondary School"
008,038, ,30,24,84,0,10,0,,,,,,,,,,0,0,0,148,345,"Brampton,Fletcher's Meadow Secondary School"
008,039, ,37,23,78,1,10,0,,,,,,,,,,0,1,0,150,461,"Brampton,St. Angela Merici Elementary School"
008,040, ,29,19,43,0,7,1,,,,,,,,,,1,0,2,102,377,"Brampton,St. Angela Merici Elementary School"
008,041, ,29,19,85,0,8,1,,,,,,,,,,4,0,0,146,460,"Brampton,St. Angela Merici Elementary School"
008,042, ,27,32,34,0,6,1,,,,,,,,,,1,2,0,103,348,"Brampton,Edenbrook Hill Elementary School"
008,043, ,40,19,48,2,14,0,,,,,,,,,,0,0,0,123,302,"Brampton,St. Maria Goretti School"
008,044, ,27,7,60,0,4,3,,,,,,,,,,2,0,0,103,325,"Brampton,St. Maria Goretti School"
008,045, ,50,21,97,0,12,4,,,,,,,,,,3,1,1,189,479,"Brampton,St. Maria Goretti School"
008,046, ,30,29,68,0,1,2,,,,,,,,,,0,0,0,130,374,"Brampton,St. Maria Goretti School"
008,047s, ,12,5,22,0,2,2,,,,,,,,,,0,5,0,48,178,"Brampton,Peel Manor"
008,048, ,24,15,39,0,5,2,,,,,,,,,,0,2,0,87,304,"Brampton,Our Lady of Fatima Elementary School"
008,049, ,49,24,34,1,9,2,,,,,,,,,,0,0,0,119,335,"Brampton,Agnes Taylor Public School"
008,050, ,36,14,31,0,5,1,,,,,,,,,,1,1,0,89,285,"Brampton,Agnes Taylor Public School"
008,051, ,44,27,59,1,19,1,,,,,,,,,,1,0,0,152,313,"Brampton,Agnes Taylor Public School"
008,052, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
008,053, ,48,16,51,0,13,0,,,,,,,,,,0,0,0,128,310,"Brampton,St. Edmund Campion Secondary School"
008,054, ,40,23,57,0,2,1,,,,,,,,,,1,0,0,124,307,"Brampton,St. Edmund Campion Secondary School"
008,055, ,58,10,81,0,17,0,,,,,,,,,,0,0,0,166,392,"Brampton,Brisdale Public School"
008,056, ,38,14,69,0,8,0,,,,,,,,,,0,0,0,129,361,"Brampton,Brisdale Public School"
008,057, ,25,14,83,1,9,0,,,,,,,,,,0,0,0,132,350,"Brampton,St. Edmund Campion Secondary School"
008,058, ,31,11,77,0,5,1,,,,,,,,,,0,0,0,125,334,"Brampton,St. Edmund Campion Secondary School"
008,059, ,22,12,77,1,9,0,,,,,,,,,,2,0,0,123,321,"Brampton,Fletcher's Meadow Secondary School"
008,060, ,32,7,57,1,11,0,,,,,,,,,,0,0,0,108,343,"Brampton,Fletcher's Meadow Secondary School"
008,061, ,36,11,67,0,11,1,,,,,,,,,,1,0,0,127,329,"Brampton,St. Angela Merici Elementary School"
008,062, ,35,6,80,1,13,0,,,,,,,,,,0,0,0,135,350,"Brampton,Fletcher's Meadow Secondary School"
008,063, ,50,5,39,0,5,0,,,,,,,,,,2,0,0,101,258,"Brampton,St. Angela Merici Elementary School"
008,064, ,49,11,50,0,6,2,,,,,,,,,,0,0,0,118,349,"Brampton,St. Angela Merici Elementary School"
008,065, ,45,19,106,2,9,2,,,,,,,,,,2,0,0,185,436,"Brampton,St. Angela Merici Elementary School"
008,066, ,30,17,60,2,8,2,,,,,,,,,,0,0,0,119,308,"Brampton,Edenbrook Hill Elementary School"
008,067, ,13,3,15,1,2,1,,,,,,,,,,0,0,2,37,111,"Brampton,St. Ursula Elementary School"
008,068, ,25,15,45,0,11,1,,,,,,,,,,1,0,0,98,297,"Brampton,St. Ursula Elementary School"
008,069, ,15,10,29,1,5,0,,,,,,,,,,3,0,0,63,219,"Brampton,St. Ursula Elementary School"
008,070, ,47,20,66,0,13,2,,,,,,,,,,0,0,0,148,413,"Brampton,St. Ursula Elementary School"
008,071, ,50,27,72,0,3,1,,,,,,,,,,0,0,0,153,466,"Brampton,St. Ursula Elementary School"
008,072, ,53,19,56,0,10,2,,,,,,,,,,0,0,2,142,312,"Brampton,St. Maria Goretti School"
008,073, ,36,16,47,0,14,0,,,,,,,,,,0,1,0,114,372,"Brampton,Our Lady of Fatima Elementary School"
008,074, ,62,17,33,0,11,3,,,,,,,,,,0,1,0,127,350,"Brampton,St. Maria Goretti School"
008,075, ,63,22,59,0,19,0,,,,,,,,,,1,0,0,164,377,"Brampton,Our Lady of Fatima Elementary School"
008,076, ,62,11,57,0,11,4,,,,,,,,,,2,1,1,149,393,"Brampton,Our Lady of Fatima Elementary School"
008,077, ,65,25,74,3,27,3,,,,,,,,,,4,0,0,201,427,"Brampton,Glendale Public School"
008,078, ,48,20,39,0,15,3,,,,,,,,,,0,1,1,127,383,"Brampton,Glendale Public School"
008,079, ,65,16,41,1,10,3,,,,,,,,,,1,1,0,138,297,"Brampton,Glendale Public School"
008,080, ,71,8,51,0,35,3,,,,,,,,,,1,0,0,169,384,"Brampton,Central Public School Recreation Centre"
008,081, ,49,9,25,0,7,0,,,,,,,,,,0,0,0,90,238,"Brampton,Central Public School Recreation Centre"
008,082, ,65,31,65,0,14,3,,,,,,,,,,14,0,0,192,430,"Brampton,Agnes Taylor Public School"
008,083, ,88,14,43,0,19,1,,,,,,,,,,0,0,0,165,327,"Brampton,Agnes Taylor Public School"
008,084, ,9,13,11,0,7,2,,,,,,,,,,1,0,0,43,219,"Brampton,Sir Winston Churchill Public School"
008,085, ,32,20,23,0,13,1,,,,,,,,,,0,0,1,90,267,"Brampton,Sir Winston Churchill Public School"
008,086, ,38,12,30,0,4,1,,,,,,,,,,0,0,0,85,451,"Brampton,Sir Winston Churchill Public School"
008,087, ,27,17,52,0,15,2,,,,,,,,,,0,0,0,113,304,"Brampton,St. Edmund Campion Secondary School"
008,088, ,24,8,69,0,15,1,,,,,,,,,,0,0,0,117,392,"Brampton,St. Edmund Campion Secondary School"
008,089, ,24,12,44,0,7,3,,,,,,,,,,1,1,0,92,272,"Brampton,St. Edmund Campion Secondary School"
008,090, ,37,7,87,1,10,0,,,,,,,,,,1,1,0,144,434,"Brampton,St. Edmund Campion Secondary School"
008,091, ,47,12,93,1,7,1,,,,,,,,,,0,0,0,161,391,"Brampton,McCrimmon Middle School"
008,092, ,54,22,66,1,11,1,,,,,,,,,,3,0,0,158,348,"Brampton,McCrimmon Middle School"
008,093, ,49,9,55,0,12,1,,,,,,,,,,1,0,0,127,325,"Brampton,McCrimmon Middle School"
008,094, ,31,13,90,2,3,1,,,,,,,,,,0,2,1,143,431,"Brampton,Guardian Angels Elementary School"
008,095, ,47,16,40,1,9,1,,,,,,,,,,0,1,1,116,339,"Brampton,Guardian Angels Elementary School"
008,096, ,25,10,104,0,5,3,,,,,,,,,,0,0,0,147,431,"Brampton,Guardian Angels Elementary School"
008,097, ,39,16,53,0,10,0,,,,,,,,,,0,0,0,118,378,"Brampton,Guardian Angels Elementary School"
008,098, ,69,17,90,1,6,2,,,,,,,,,,0,0,2,187,470,"Brampton,Edenbrook Hill Elementary School"
